nombre_escuela,alcaldia,nivel,anio,matricula_inicial,desertores,tasa_desercion
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2018,460,4,0.0087
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2019,457,2,0.0044
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2020,473,6,0.0127
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2021,451,7,0.0155
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2022,453,1,0.0022
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2023,475,1,0.0021
Escuela Primaria Sor Juana 02,Alvaro Obregon,Primaria,2024,421,2,0.0048
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2000,469,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2001,473,3,0.0063
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2002,503,2,0.004
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2003,481,2,0.0042
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2004,450,2,0.0044
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2005,480,7,0.0146
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2006,477,3,0.0063
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2007,480,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2008,498,4,0.008
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2009,494,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2010,504,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2011,493,6,0.0122
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2012,471,1,0.0021
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2013,488,1,0.002
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2014,465,2,0.0043
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2015,473,3,0.0063
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2016,476,5,0.0105
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2017,479,1,0.0021
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2018,503,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2019,495,5,0.0101
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2020,469,6,0.0128
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2021,498,8,0.0161
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2022,476,0,0.0
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2023,504,3,0.006
Escuela Primaria Nezahualcoyotl 03,Alvaro Obregon,Primaria,2024,500,3,0.006
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2000,883,7,0.0079
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2001,883,0,0.0
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2002,908,9,0.0099
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2003,902,0,0.0
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2004,864,0,0.0
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2005,906,8,0.0088
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2006,899,7,0.0078
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2007,866,4,0.0046
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2008,854,1,0.0012
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2009,916,3,0.0033
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2010,927,6,0.0065
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2011,970,4,0.0041
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2012,860,3,0.0035
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2013,874,7,0.008
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2014,903,3,0.0033
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2015,900,6,0.0067
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2016,893,7,0.0078
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2017,935,3,0.0032
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2018,883,2,0.0023
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2019,930,4,0.0043
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2020,929,18,0.0194
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2021,920,8,0.0087
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2022,945,4,0.0042
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2023,941,8,0.0085
Escuela Primaria Vasco de Quiroga 04,Alvaro Obregon,Primaria,2024,893,9,0.0101
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2000,711,0,0.0
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2001,742,0,0.0
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2002,703,4,0.0057
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2003,727,1,0.0014
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2004,733,2,0.0027
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2005,775,1,0.0013
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2006,715,2,0.0028
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2007,727,5,0.0069
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2008,694,4,0.0058
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2009,727,5,0.0069
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2010,739,5,0.0068
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2011,733,4,0.0055
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2012,781,1,0.0013
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2013,742,2,0.0027
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2014,782,2,0.0026
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2015,731,1,0.0014
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2016,746,1,0.0013
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2017,742,4,0.0054
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2018,750,6,0.008
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2019,746,3,0.004
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2020,761,16,0.021
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2021,739,15,0.0203
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2022,731,4,0.0055
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2023,752,1,0.0013
Escuela Primaria Frida Kahlo 05,Alvaro Obregon,Primaria,2024,777,5,0.0064
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2000,854,0,0.0
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2001,905,0,0.0
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2002,853,4,0.0047
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2003,904,0,0.0
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2004,898,4,0.0045
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2005,844,5,0.0059
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2006,877,2,0.0023
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2007,875,2,0.0023
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2008,878,6,0.0068
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2009,918,0,0.0
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2010,934,0,0.0
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2011,876,6,0.0068
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2012,889,2,0.0022
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2013,878,2,0.0023
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2014,869,7,0.0081
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2015,896,1,0.0011
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2016,913,5,0.0055
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2017,912,6,0.0066
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2018,870,2,0.0023
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2019,914,6,0.0066
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2020,895,11,0.0123
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2021,932,9,0.0097
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2022,914,3,0.0033
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2023,895,8,0.0089
Escuela Primaria Octavio Paz 06,Alvaro Obregon,Primaria,2024,925,7,0.0076
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2000,517,9,0.0174
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2001,499,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2002,530,2,0.0038
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2003,522,6,0.0115
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2004,513,2,0.0039
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2005,530,1,0.0019
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2006,505,3,0.0059
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2007,558,3,0.0054
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2008,532,2,0.0038
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2009,527,5,0.0095
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2010,524,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2011,508,2,0.0039
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2012,552,3,0.0054
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2013,530,3,0.0057
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2014,540,4,0.0074
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2015,559,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2016,501,1,0.002
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2017,523,4,0.0076
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2018,529,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2019,533,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2020,569,8,0.0141
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2021,554,8,0.0144
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2022,559,5,0.0089
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2023,537,0,0.0
Escuela Primaria Jose Vasconcelos 07,Alvaro Obregon,Primaria,2024,533,2,0.0038
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2000,367,3,0.0082
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2001,372,2,0.0054
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2002,393,2,0.0051
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2003,363,4,0.011
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2004,382,4,0.0105
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2005,368,3,0.0082
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2006,354,3,0.0085
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2007,369,0,0.0
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2008,383,0,0.0
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2009,351,2,0.0057
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2010,380,3,0.0079
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2011,382,4,0.0105
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2012,383,1,0.0026
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2013,375,1,0.0027
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2014,380,0,0.0
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2015,381,1,0.0026
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2016,381,2,0.0052
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2017,351,0,0.0
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2018,378,1,0.0026
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2019,383,2,0.0052
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2020,398,5,0.0126
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2021,378,2,0.0053
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2022,366,2,0.0055
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2023,395,4,0.0101
Escuela Primaria Miguel Hidalgo 08,Alvaro Obregon,Primaria,2024,374,1,0.0027
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2000,361,1,0.0028
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2001,398,3,0.0075
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2002,398,6,0.0151
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2003,422,1,0.0024
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2004,420,3,0.0071
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2005,410,3,0.0073
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2006,408,2,0.0049
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2007,419,5,0.0119
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2008,413,1,0.0024
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2009,385,5,0.013
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2010,408,3,0.0074
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2011,435,2,0.0046
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2012,410,4,0.0098
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2013,419,3,0.0072
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2014,395,4,0.0101
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2015,420,0,0.0
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2016,422,0,0.0
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2017,446,0,0.0
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2018,438,0,0.0
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2019,425,0,0.0
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2020,432,5,0.0116
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2021,426,5,0.0117
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2022,403,3,0.0074
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2023,415,3,0.0072
Escuela Primaria Moctezuma 09,Alvaro Obregon,Primaria,2024,419,2,0.0048
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2000,713,4,0.0056
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2001,736,0,0.0
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2002,764,0,0.0
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2003,769,9,0.0117
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2004,759,0,0.0
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2005,774,1,0.0013
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2006,772,4,0.0052
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2007,772,3,0.0039
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2008,779,8,0.0103
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2009,770,4,0.0052
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2010,797,5,0.0063
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2011,770,6,0.0078
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2012,760,2,0.0026
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2013,764,5,0.0065
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2014,811,4,0.0049
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2015,787,1,0.0013
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2016,770,0,0.0
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2017,736,2,0.0027
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2018,782,10,0.0128
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2019,828,5,0.006
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2020,842,15,0.0178
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2021,746,12,0.0161
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2022,813,2,0.0025
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2023,763,5,0.0066
Escuela Primaria Heroes de Chapultepec 10,Alvaro Obregon,Primaria,2024,749,3,0.004
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2000,669,6,0.009
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2001,668,5,0.0075
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2002,670,6,0.009
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2003,662,5,0.0076
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2004,629,8,0.0127
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2005,689,7,0.0102
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2006,687,8,0.0116
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2007,668,5,0.0075
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2008,695,8,0.0115
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2009,727,12,0.0165
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2010,705,5,0.0071
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2011,676,4,0.0059
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2012,694,0,0.0
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2013,680,6,0.0088
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2014,659,9,0.0137
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2015,668,8,0.012
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2016,750,3,0.004
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2017,690,6,0.0087
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2018,682,9,0.0132
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2019,718,10,0.0139
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2020,681,19,0.0279
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2021,660,9,0.0136
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2022,702,7,0.01
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2023,710,12,0.0169
Escuela Secundaria Tecnica Benito Juarez 01,Alvaro Obregon,Secundaria,2024,698,7,0.01
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2000,1199,15,0.0125
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2001,1158,14,0.0121
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2002,1199,6,0.005
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2003,1168,15,0.0128
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2004,1239,17,0.0137
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2005,1244,11,0.0088
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2006,1191,16,0.0134
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2007,1102,18,0.0163
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2008,1120,16,0.0143
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2009,1212,1,0.0008
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2010,1108,18,0.0162
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2011,1235,8,0.0065
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2012,1162,14,0.012
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2013,1194,17,0.0142
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2014,1214,20,0.0165
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2015,1233,16,0.013
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2016,1187,10,0.0084
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2017,1200,21,0.0175
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2018,1189,13,0.0109
Escuela Secundaria Tecnica Sor Juana 02,Alvaro Obregon,Secundaria,2019,1124,14,0.0125
